Date,ARIMA,Linear Regression,Random Forest,XGBoost,SARIMA
2020-07-02,52.66548377219623,69.37188961445483,64.99,61.34527,52.66548377219623
2020-07-03,48.94950223131161,244.78343816306855,276.34,268.58624,48.94950223131161
2020-07-04,49.573713178123214,102.7190060745986,97.56,95.77023,49.573713178123214
2020-07-05,48.41476822362026,51.359863387419175,46.19,50.51729,48.41476822362026
2020-07-06,47.451633376541174,67.39630466040575,55.99,61.557983,47.451633376541174
2020-07-07,49.836717457749415,140.17729975568608,123.12,134.13913,49.836717457749415
2020-07-08,52.994288731112434,251.3543964956691,246.3,265.15973,52.994288731112434
2020-07-09,51.78183792548091,132.70450572941587,124.63,123.5928,51.78183792548091
2020-07-10,47.88548382646053,63.49754216613458,62.47,60.71288,47.88548382646053
2020-07-11,48.64199103371416,197.59597697185228,226.85,247.95587,48.64199103371416
2020-07-12,47.45285437505349,138.65748164279188,134.16,134.5243,47.452854375053484
2020-07-13,46.62717263717722,167.49573499885736,147.51,148.35631,46.62717263717722
2020-07-14,48.96039637756589,165.2863271510983,205.68,186.54195,48.96039637756589
2020-07-15,52.10724651964933,136.95368652079327,141.09,142.25255,52.10724651964933
2020-07-16,50.837788116881846,163.6370655282813,167.37,171.13014,50.837788116881846
2020-07-17,46.99269077710751,88.19244382911054,74.54,85.31096,46.99269077710751
2020-07-18,47.7037854873241,256.12639433156136,308.56,287.46802,47.7037854873241
2020-07-19,46.55442918705498,120.1459383097567,105.45,108.97968,46.55442918705498
2020-07-20,45.692540449376686,122.5648570963394,112.96,115.73597,45.692540449376686
2020-07-21,48.05747588184867,55.262233900582935,59.97,58.710133,48.05747588184867
2020-07-22,51.176516328035206,147.6099084575983,134.44,131.5615,51.176516328035206
2020-07-23,49.93229141779055,53.53682949316126,48.66,54.075928,49.93229141779055
2020-07-24,46.06473295523878,63.43541765970272,84.55,65.74528,46.06473295523878
2020-07-25,46.795816156616645,304.17108738921024,342.15,324.41226,46.795816156616645
2020-07-26,45.62867509075811,252.57489323752975,301.1,297.336,45.62867509075811
2020-07-27,44.7826202972044,60.08248914933424,66.82,58.102837,44.782620297204396
2020-07-28,47.13346753244399,333.75894108919783,320.89,352.08453,47.13346753244399
2020-07-29,50.26504321089429,64.66247952306395,65.42,59.43586,50.26504321089429
2020-07-30,49.00965866651436,119.66016918982956,106.73,113.99011,49.00965866651436
2020-07-31,45.15203209784105,113.78039438342104,118.62,114.44304,45.15203209784105
